y_norm,vy_norm,dist_norm,delta_gap_norm,action
0.47958332,0.058333334,0.54,-0.13958333,0
0.48133335,0.0875,0.5325,-0.14133333,0
0.48366666,0.11666667,0.525,-0.14366667,0
0.48658332,0.14583333,0.5175,-0.14658333,0
0.49008334,0.175,0.51,-0.15008333,0
0.49416667,0.20416667,0.5025,-0.15416667,0
0.49883333,0.23333333,0.495,-0.15883334,1
0.48775,-0.5541667,0.4875,-0.14775,0
0.47725,-0.525,0.48,-0.13725,0
0.46733335,-0.49583334,0.4725,-0.12733333,0
0.458,-0.46666667,0.465,-0.118,0
0.44925,-0.4375,0.4575,-0.10925,0
0.44108334,-0.40833333,0.45,-0.10108333,0
0.4335,-0.37916666,0.4425,-0.0935,0
0.4265,-0.35,0.435,-0.0865,0
0.42008334,-0.32083333,0.4275,-0.08008333,0
0.41425,-0.29166666,0.42,-0.07425,0
0.409,-0.2625,0.4125,-0.069,0
0.40433332,-0.23333333,0.405,-0.064333335,0
0.40025,-0.20416667,0.3975,-0.06025,0
0.39675,-0.175,0.39,-0.05675,0
0.39383334,-0.14583333,0.3825,-0.053833332,0
0.3915,-0.11666667,0.375,-0.0515,0
0.38975,-0.0875,0.3675,-0.04975,0
0.38858333,-0.058333334,0.36,-0.048583332,0
0.388,-0.029166667,0.3525,-0.048,0
0.388,-1.7578532e-16,0.345,-0.048,0
0.38858333,0.029166667,0.3375,-0.048583332,0
0.38975,0.058333334,0.33,-0.04975,0
0.3915,0.0875,0.3225,-0.0515,0
0.39383334,0.11666667,0.315,-0.053833332,1
0.38275,-0.5541667,0.3075,-0.04275,0
0.37225,-0.525,0.3,-0.03225,0
0.36233333,-0.49583334,0.2925,-0.022333333,0
0.353,-0.46666667,0.285,-0.013,0
0.34425,-0.4375,0.2775,-0.00425,0
0.33608332,-0.40833333,0.27,0.003916667,0
0.3285,-0.37916666,0.2625,0.0115,0
0.3215,-0.35,0.255,0.0185,0
0.31508332,-0.32083333,0.2475,0.024916667,1
0.304,-0.5541667,0.24,0.036,1
0.29291666,-0.5541667,0.2325,0.047083333,1
0.28183332,-0.5541667,0.225,0.058166668,1
0.27075,-0.5541667,0.2175,0.06925,1
0.25966668,-0.5541667,0.21,0.08033333,1
0.24858333,-0.5541667,0.2025,0.091416664,1
0.2375,-0.5541667,0.195,0.1025,1
0.22641666,-0.5541667,0.1875,0.113583334,1
0.21533333,-0.5541667,0.18,0.12466667,1
0.20425,-0.5541667,0.1725,0.13575,1
0.19316667,-0.5541667,0.165,0.14683333,1
0.18208334,-0.5541667,0.1575,0.15791667,1
0.171,-0.5541667,0.15,0.169,1
0.15991667,-0.5541667,0.1425,0.18008333,1
0.14883333,-0.5541667,0.135,0.19116667,1
0.5,0.0,1.0,0.27833334,0
0.50058335,0.029166667,1.0,0.27775,0
0.50175,0.058333334,1.0,0.27658334,0
0.5035,0.0875,1.0,0.27483332,0
0.5058333,0.11666667,1.0,0.2725,0
0.50875,0.14583333,1.0,0.26958334,0
0.51225,0.175,1.0,0.26608333,0
0.51633334,0.20416667,1.0,0.262,0
0.521,0.23333333,1.0,0.25733334,0
0.52625,0.2625,1.0,0.25208333,0
0.53208333,0.29166666,1.0,0.24625,0
0.5385,0.32083333,1.0,0.23983334,0
0.5455,0.35,1.0,0.23283334,0
0.55308336,0.37916666,1.0,0.22525,0
0.56125,0.40833333,1.0,0.21708333,0
0.57,0.4375,1.0,0.20833333,0
0.5793333,0.46666667,1.0,0.199,0
0.58925,0.49583334,0.9975,0.18908334,0
0.59975,0.525,0.99,0.17858334,1
0.5886667,-0.5541667,0.9825,0.18966667,0
0.57816666,-0.525,0.975,0.20016667,0
0.56825,-0.49583334,0.9675,0.21008334,0
0.5589167,-0.46666667,0.96,0.21941666,0
0.55016667,-0.4375,0.9525,0.22816667,0
0.542,-0.40833333,0.945,0.23633334,0
0.5344167,-0.37916666,0.9375,0.24391666,0
0.52741665,-0.35,0.93,0.25091666,0
0.521,-0.32083333,0.9225,0.25733334,0
0.51516664,-0.29166666,0.915,0.26316667,0
0.50991666,-0.2625,0.9075,0.26841667,0
0.50525,-0.23333333,0.9,0.27308333,0
0.50116664,-0.20416667,0.8925,0.27716666,0
0.49766666,-0.175,0.885,0.28066668,0
0.49475,-0.14583333,0.8775,0.28358334,0
0.49241668,-0.11666667,0.87,0.28591666,0
