y_norm,vy_norm,dist_norm,delta_gap_norm,action
0.49883333,-0.2625,0.6225,-0.2305,0
0.49416667,-0.23333333,0.615,-0.22583333,0
0.49008334,-0.20416667,0.6075,-0.22175,0
0.48658332,-0.175,0.6,-0.21825,0
0.48366666,-0.14583333,0.5925,-0.21533333,0
0.48133335,-0.11666667,0.585,-0.213,0
0.47958332,-0.0875,0.5775,-0.21125,0
0.47841668,-0.058333334,0.57,-0.21008334,0
0.47783333,-0.029166667,0.5625,-0.2095,0
0.47783333,-1.7578532e-16,0.555,-0.2095,0
0.47841668,0.029166667,0.5475,-0.21008334,0
0.47958332,0.058333334,0.54,-0.21125,0
0.48133335,0.0875,0.5325,-0.213,0
0.48366666,0.11666667,0.525,-0.21533333,0
0.48658332,0.14583333,0.5175,-0.21825,0
0.49008334,0.175,0.51,-0.22175,0
0.49416667,0.20416667,0.5025,-0.22583333,0
0.49883333,0.23333333,0.495,-0.2305,0
0.50408334,0.2625,0.4875,-0.23575,0
0.50991666,0.29166666,0.48,-0.24158333,0
0.51633334,0.32083333,0.4725,-0.248,0
0.5233333,0.35,0.465,-0.255,0
0.5309167,0.37916666,0.4575,-0.26258335,0
0.53908336,0.40833333,0.45,-0.27075,0
0.5478333,0.4375,0.4425,-0.2795,0
0.5571667,0.46666667,0.435,-0.28883332,0
0.56708336,0.49583334,0.4275,-0.29875,0
0.5775833,0.525,0.42,-0.30925,1
0.5665,-0.5541667,0.4125,-0.29816666,0
0.556,-0.525,0.405,-0.28766668,0
0.54608333,-0.49583334,0.3975,-0.27775,0
